Index,Place Name,Latitude,Longitude,Customer Name,Mobile Number
1,Colombo,6.927079,79.861244,John Doe,0712345678
2,Dehiwala-Mount Lavinia,6.839,79.865,Jane Smith,0723456789
3,Moratuwa,6.773,79.882,Michael Brown,0734567890
4,Sri Jayawardenepura Kotte,6.927,79.888,Emily Davis,0745678901
5,Maharagama,6.847,79.927,Christopher Wilson,0756789012
6,Kotikawatta,6.931,79.939,Jessica Martinez,0767890123
7,Homagama,6.84,79.994,David Garcia,0778901234
8,Pannipitiya,6.842,79.958,Sarah Rodriguez,0789012345
9,Kaduwela,6.936,79.99,James Hernandez,0790123456
10,Nugegoda,6.872,79.888,Ashley Martinez,0711234567
11,Boralesgamuwa,6.849,79.904,Brian Clark,0722345678
12,Mulleriyawa,6.931,79.95,Linda Lewis,0733456789
13,Kesbewa,6.785,79.957,Steven Robinson,0744567890
14,Bambalapitiya,6.894,79.854,Patricia Walker,0755678901
15,Ratmalana,6.826,79.87,Charles Young,0766789012
16,Thimbirigasyaya,6.906,79.862,Dorothy Allen,0777890123
17,Kollupitiya,6.917,79.848,Joseph King,0788901234
18,Wellawatte,6.872,79.861,Anna Wright,0799012345
19,Peliyagoda,6.958,79.888,Matthew Scott,0710123456
20,Angoda,6.937,79.951,Karen Harris,0721234567
21,Battaramulla,6.902,79.927,Daniel Green,0732345678
22,Rajagiriya,6.913,79.897,Nancy Adams,0743456789
23,Pita Kotte,6.889,79.907,Larry Baker,0754567890
24,Kiribathgoda,6.975,79.921,Betty Nelson,0765678901
25,Hokandara,6.874,79.968,Edward Hill,0776789012
26,Mattegoda,6.821,79.957,Lisa Ramirez,0787890123
27,Malabe,6.914,79.963,George Campbell,0798901234
28,Wattala,6.973,79.891,Margaret Parker,0712345678
29,Kelaniya,6.955,79.901,Thomas Evans,0723456789
30,Hanwella,6.929,80.005,Susan Edwards,0734567890
31,Athurugiriya,6.883,79.989,Frank Morris,0745678901
32,Kottawa,6.844,79.982,Kimberly Mitchell,0756789012
33,Borella,6.915,79.871,Paul Perez,0767890123
34,Mount Lavinia,6.832,79.863,Jennifer Roberts,0778901234
35,Kohuwala,6.859,79.891,Jason Turner,0789012345
36,Hendala,6.971,79.878,Amanda Phillips,0790123456
37,Moragasmulla,6.899,79.927,Anthony Campbell,0711234567
38,Wadduwa,6.638,79.926,Carolyn Parker,0722345678
39,Thalawathugoda,6.865,79.959,Joshua White,0733456789
40,Piliyandala,6.801,79.92,Janet Thompson,0744567890
