Index,Place Name,Latitude,Longitude,Customer Name,Mobile Number
1,Matara,5.9485,80.5353,John Perera,0712345678
2,Weligama,5.9739,80.4299,Ruwan Fernando,0723456789
3,Dickwella,5.9738,80.6893,Anura Silva,0734567890
4,Mirissa,5.9483,80.4684,Sunil Jayasinghe,0745678901
5,Akuressa,6.1007,80.4642,Kamal Wijesinghe,0756789012
6,Kamburupitiya,6.0401,80.5889,Ranjith Gunawardena,0767890123
7,Hakmana,6.0811,80.6527,Nimal Rajapaksha,0778901234
8,Kotapola,6.2362,80.5912,Asela Samarasekara,0789012345
9,Thihagoda,5.9966,80.5612,Chandana Senanayake,0711234567
10,Devinuwara,5.9354,80.5905,Lakshan Ratnayake,0722345678
11,Kekanadura,5.995,80.5541,Shanaka Wickramasinghe,0733456789
12,Deniyaya,6.3211,80.5517,Harsha Udugama,0744567890
13,Urubokka,6.1834,80.6156,Dinesh Thilakaratne,0755678901
14,Malimbada,6.0367,80.5276,Sumith Abeykoon,0766789012
15,Pasgoda,6.2416,80.6608,Sampath Karunaratne,0777890123
16,Kirinda Puhulwella,6.0106,80.5868,Prasanna Gamage,0788901234
17,Yatiyana,5.9513,80.5472,Niroshan Jayawardena,0719876543
18,Pitabeddara,6.2011,80.5378,Sanjeewa Kulasekara,0728765432
19,Kapuduwa,6.0213,80.5369,Uditha Perera,0737654321
20,Kubalgama,5.969,80.5078,Chaminda Lakmal,0746543210
21,Hungama,6.1272,80.9603,Thisara Manamendra,0755432109
22,Kotuwagoda,5.9514,80.5613,Gayan Athukorala,0764321098
23,Thalalla,5.9389,80.5784,Kasun Madushanka,0773210987
24,Midigama,5.9631,80.4212,Jagath Weerasinghe,0782109876
25,Polwathumodara,5.9652,80.4575,Waruna Dias,0711098765
26,Egodagama,5.9453,80.5758,Roshan Weerasooriya,0720987654
27,Nugaduwa,5.9519,80.5411,Sajith Jayakody,0739876543
28,Henwala,5.9695,80.4712,Mahesh Ranasinghe,0748765432
29,Kotavila,5.9647,80.5453,Sudeera Kumara,0757654321
30,Pamburana,5.9476,80.5591,Tharindu Udayanga,0766543210
31,Narawelpita,6.056,80.5374,Ruwandi Peiris,0775432109
32,Bopagoda,6.0124,80.5968,Nimesha Dissanayake,0784321098
33,Dampella,5.9674,80.5411,Isuru Jayasinghe,0713210987
34,Eliyakanda,5.9462,80.5612,Nihal de Silva,0722109876
35,Godagama,5.9511,80.535,Dilshan Siriwardena,0731098765
36,Weherahena,5.9441,80.5742,Chamath Chandrasiri,0740987654
37,Kotuwegoda,5.9468,80.5562,Janaka Mendis,0759876543
38,Palatuwa,5.9735,80.5583,Lasantha Amarasinghe,0768765432
39,Dondra,5.9354,80.587,Roshan Wijesinghe,0777654321
40,Naotunna,5.9789,80.4574,Senaka Ratnayake,0786543210
41,Denagama,6.0882,80.6765,Samith Senarath,0715432109
42,Panadura,5.9683,80.5434,Hiruni Bandara,0724321098
43,Ambalangoda,6.1508,80.6228,Kosala Liyanage,0733210987
44,Getabaru,5.9653,80.5512,Lahiru Bandara,0742109876
45,Kamburugamuwa,5.9507,80.5334,Mihiri Jayasuriya,0751098765
46,Welegoda,5.9491,80.5576,Saminda Pradeep,0760987654
47,Pitigala,5.9673,80.5437,Ruwan Nayanajith,0779876543
48,Kekanadura North,5.9972,80.5501,Pradeep Alwis,0788765432
49,Mahena,5.9583,80.5594,Nirosha Kumari,0717654321
50,Modara,5.9638,80.5671,Lasith Malinga,0726543210
